subject,color_start,vwfa_order,response_map
1,color,pseudo,yes_right
2,black,word,yes_left
3,black,word,yes_right
4,black,pseudo,yes_right
5,color,word,yes_right
6,black,pseudo,yes_left
7,color,word,yes_left
8,color,pseudo,yes_left
9,color,pseudo,yes_right
10,black,word,yes_left
11,black,word,yes_right
12,black,pseudo,yes_right
13,color,word,yes_right
14,black,pseudo,yes_left
15,color,word,yes_left
16,color,pseudo,yes_left
17,color,pseudo,yes_right
18,black,word,yes_left
19,black,word,yes_right
20,black,pseudo,yes_right
21,color,word,yes_right
22,black,pseudo,yes_left
23,color,word,yes_left
24,color,pseudo,yes_left
25,color,pseudo,yes_right
26,black,word,yes_left
27,black,word,yes_right
28,black,pseudo,yes_right
29,color,word,yes_right
30,black,pseudo,yes_left
31,color,word,yes_left
32,color,pseudo,yes_left
33,color,pseudo,yes_right
34,black,word,yes_left
35,black,word,yes_right
36,black,pseudo,yes_right
37,color,word,yes_right
38,black,pseudo,yes_left
39,color,word,yes_left
40,color,pseudo,yes_left
41,color,pseudo,yes_right
42,black,word,yes_left
43,black,word,yes_right
44,black,pseudo,yes_right
45,color,word,yes_right
46,black,pseudo,yes_left
47,color,word,yes_left
48,color,pseudo,yes_left
49,color,pseudo,yes_right
50,black,word,yes_left
51,black,word,yes_right
52,black,pseudo,yes_right
53,color,word,yes_right
54,black,pseudo,yes_left
55,color,word,yes_left
56,color,pseudo,yes_left
57,color,pseudo,yes_right
58,black,word,yes_left
59,black,word,yes_right
60,black,pseudo,yes_right
