block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19
3,,,1,,1,,,1,,6,,,,7,,,3,2,
7,,,5,,4,,,7,,0,,,,4,,,6,6,
0,,,0,,7,,,5,,3,,,,3,,,0,7,
1,,,6,,5,,,2,,5,,,,2,,,6,0,
5,,,2,,2,,,4,,1,,,,6,,,5,4,
7,,,4,,1,,,3,,7,,,,6,,,2,3,
1,,,0,,6,,,0,,2,,,,1,,,7,1,
2,,,3,,0,,,7,,7,,,,5,,,4,4,
5,,,4,,3,,,0,,4,,,,3,,,1,5,
6,,,1,,2,,,6,,5,,,,0,,,0,5,
6,,,2,,6,,,1,,3,,,,7,,,4,0,
3,,,6,,3,,,2,,2,,,,0,,,3,3,
4,,,3,,0,,,5,,0,,,,1,,,2,7,
4,,,7,,7,,,6,,1,,,,5,,,1,6,
0,,,7,,5,,,4,,6,,,,4,,,7,1,
2,,,5,,4,,,3,,4,,,,2,,,5,2,
