block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19
7,6,2,0,5,3,3,7,2,1,6,4,4,0,4,7,7,4,5,6
4,1,0,1,4,1,2,3,0,3,0,7,5,1,5,1,5,2,0,0
6,7,2,4,1,6,6,1,3,2,6,0,2,3,1,0,2,1,1,3
2,5,4,5,3,4,4,0,1,1,0,3,5,1,0,1,0,4,5,1
6,7,0,0,1,7,5,4,6,7,1,4,3,5,3,6,1,7,1,7
2,3,4,3,0,6,1,2,5,5,7,7,1,4,1,0,4,3,6,4
4,2,1,5,2,5,4,6,7,3,2,5,6,3,7,6,5,0,3,0
5,4,7,2,6,2,0,1,2,7,1,1,7,0,2,4,7,3,7,5
3,5,3,1,0,0,6,0,1,4,4,3,1,5,7,3,3,5,4,6
1,4,5,3,5,1,2,2,7,6,5,0,0,7,3,4,6,7,7,2
7,0,7,7,3,0,7,3,5,4,3,6,3,2,5,3,2,6,2,1
1,6,6,4,4,5,1,4,3,6,4,2,0,6,6,2,6,2,0,5
0,1,1,7,7,4,5,5,6,0,5,5,4,4,4,5,4,6,3,3
5,3,6,6,6,3,3,7,4,5,7,1,7,6,0,7,0,0,2,7
3,2,5,2,2,2,7,5,0,2,3,2,2,7,2,2,1,5,6,4
0,0,3,6,7,7,0,6,4,0,2,6,6,2,6,5,3,1,4,2
