word_lower,word_upper,frequency_per_million,length
door,DOOR,292.05882352941177,4
face,FACE,289.15686274509807,4
case,CASE,282.4117647058824,4
hand,HAND,279.6470588235294,4
year,YEAR,277.9215686,4
phone,PHONE,269.72549019607845,5
doctor,DOCTOR,263.94117647058823,6
town,TOWN,247.92156862745097,4
heart,HEART,244.1764705882353,5
number,NUMBER,240.94117647058823,6
week,WEEK,238.50980392156862,4
police,POLICE,236.15686274509804,6
game,GAME,233.84313725490196,4
party,PARTY,233.13725490196077,5
water,WATER,225.05882352941177,5
boys,BOYS,224.15686274509804,4
couple,COUPLE,223.41176470588235,6
eyes,EYES,221.54901960784315,4
story,STORY,220.7843137254902,5
lady,LADY,217.07843137254903,4
hours,HOURS,214.88235294117646,5
person,PERSON,212.88235294117646,6
girls,GIRLS,208.35294117647058,5
office,OFFICE,203.90196078431373,6
dinner,DINNER,202.66666666666666,6
women,WOMEN,195.64705882352942,5
body,BODY,195.52941176470588,4
moment,MOMENT,187.0392156862745,6
blood,BLOOD,186.11764705882354,5
sister,SISTER,180.52941176470588,6
book,BOOK,176.98039215686273,4
answer,ANSWER,176.19607843137254,6
city,CITY,169.09803921568627,4
news,NEWS,164.68627450980392,4
child,CHILD,157.64705882352942,5
food,FOOD,154.4313725490196,4
hair,HAIR,153.54901960784315,4
music,MUSIC,151.64705882352942,5
street,STREET,148.1764705882353,6
dance,DANCE,148.0392156862745,5
team,TEAM,147.6078431372549,4
coffee,COFFEE,144.52941176470588,6
ladies,LADIES,138.31372549019608,6
figure,FIGURE,129.37254901960785,6
king,KING,129.2549019607843,4
boss,BOSS,124.29411764705883,4
movie,MOVIE,122.96078431372548,5
words,WORDS,122.01960784313725,5
feet,FEET,120.72549019607843,4
class,CLASS,117.3529411764706,5
road,ROAD,111.94117647058823,4
report,REPORT,108,6
state,STATE,107.84313725490196,5
table,TABLE,105.62745098039215,5
ball,BALL,104.96078431372548,4
mouth,MOUTH,104.41176470588235,5
lunch,LUNCH,104.11764705882354,5
paper,PAPER,103.3529411764706,5
hotel,HOTEL,103.2156862745098,5
buddy,BUDDY,102.88235294117646,5
court,COURT,100.72549019607843,5
floor,FLOOR,100.62745098039215,5
earth,EARTH,99.49019607843137,5
ship,SHIP,98.88235294117646,4
club,CLUB,98.78431373,4
pain,PAIN,97.94117647058823,4
stick,STICK,97.11764705882354,5
boat,BOAT,95.78431373,4
plane,PLANE,95.52941176470588,5
month,MONTH,95.17647058823529,5
train,TRAIN,95.05882352941177,5
song,SONG,93.68627450980392,4
horse,HORSE,92.88235294117646,5
ring,RING,92.74509803921569,4
system,SYSTEM,91.50980392156863,6
miles,MILES,88.23529411764706,5
land,LAND,88.11764705882354,4
dress,DRESS,87.19607843137256,5
rock,ROCK,86.15686274509804,4
voice,VOICE,86.15686274509804,5
window,WINDOW,86,6
record,RECORD,85.58823529411765,6
card,CARD,85.43137254901961,4
bank,BANK,84.98039215686275,4
cops,COPS,84.11764705882354,4
fish,FISH,83.49019607843137,4
smell,SMELL,83.13725490196079,5
letter,LETTER,82.60784314,6
trip,TRIP,82.39215686,4
store,STORE,81.92156862745098,5
star,STAR,81.35294118,4
list,LIST,80.58823529411765,4
judge,JUDGE,79.66666666666667,5
lawyer,LAWYER,79.50980392156863,6
gold,GOLD,78.94117647058823,4
seat,SEAT,78.78431373,4
summer,SUMMER,78.66666666666667,6
mess,MESS,78.13725490196079,4
radio,RADIO,77.17647058823529,5
brain,BRAIN,77.01960784313725,5
folks,FOLKS,76.03921568627452,5
beer,BEER,75.49019607843137,4
area,AREA,74.92156862745098,4
scene,SCENE,74.64705882,5
shoes,SHOES,74.15686274509804,5
group,GROUP,73.76470588235294,5
joke,JOKE,73.01960784313725,4
truck,TRUCK,72.86274509803921,5
ground,GROUND,72.47058823529412,6
cash,CASH,72.43137254901961,4
park,PARK,72.11764705882354,4
wall,WALL,70.68627450980392,4
jail,JAIL,70.62745098039215,4
field,FIELD,70.19607843137256,5
church,CHURCH,69.66666666666667,6
peace,PEACE,69.60784314,5
tape,TAPE,68.84313725490196,4
suit,SUIT,68.60784314,4
space,SPACE,66.05882352941177,5
prison,PRISON,66.03921568627452,6
film,FILM,65.25490196078431,4
tree,TREE,65,4
foot,FOOT,64.92156862745098,4
gift,GIFT,64.50980392156863,4
dreams,DREAMS,64.41176470588235,6
board,BOARD,64.15686274509804,5
race,RACE,61.90196078431372,4
glass,GLASS,60.705882352941174,5
guns,GUNS,60.627450980392155,4
wine,WINE,60.35294117647059,4
arms,ARMS,59.80392156862745,4
flight,FLIGHT,59.68627450980392,6
neck,NECK,59.509803921568626,4
wind,WIND,59.372549019607845,4
pants,PANTS,58.745098039215684,5
visit,VISIT,58.68627450980392,5
clock,CLOCK,58.627450980392155,5
